,text
158,ottonova krankenvers ottostrase ottonova lfd beitrag
159,dkb ag abrechnung siehe anlage abrechnung information zur abrechnung kontostand am abrechnungszeitraum vom bis zinsen für eingeräumte kontoüberziehung v h kred zins bis abrechnung sollzinssätze am v h für eingeräumte kontoüberziehung aktuell eingeräumte kontoüberziehung v h für geduldete kontoüberziehung über die eingeräumte kontoüberziehung hinaus es handelt sich hierbei um eine steuerfreie leistung kontostand rechnungsabschluss am rechnungsnummer
160,cursor ai powered ide xxxx xxxx auslandseinsatzentgelt card debitkarte
161,aldi sued duesseldorf apple pay
162,cursor ai powered ide cursor com us kurs uhr
163,rewe duesseldorf w duesseldorf apple pay
164,amazon eu s a r l niederlassung deutschland amazon
165,subway gustaf gr dusseldorf apple pay
166,lime fahrt mazq frankfurt apple pay
167,treatwell berlin apple pay
168,philipp hardy ausgleich
169,edeka zurheide duesseldorf apple pay
170,aldi sued duesseldorf apple pay
171,philipp hardy ausgleich
172,paypal europe s a r l et cie s c a bolt operations ou ihr ein bei bolt operations ou
173,esso waardenburg koffi waardenburg nl apple pay
174,esso waardenburg koffi waardenburg nl apple pay
175,esso waardenburg waardenburg nl apple pay
176,teso opdeboot dw den hoorn nl apple pay
177,jumbo den burg den burg nl apple pay
178,amazon prim luxembourg uhr
179,fair parken gmbh kundennr
180,amazon eu s a r l niederlassung deutschland amazon
181,amazon payments europe s c a amzn mktp
182,kfc purmerend purmerend nl apple pay
183,shell duesseldorf apple pay
184,rewe martin maiche duesseldorf apple pay
185,lime fahrt mazq frankfurt apple pay
186,paypal europe s a r l et cie s c a pp pp getsafe digital gmbh ihr ein bei getsa fe digital gmbh
187,ls mangal doener x lp duesseldorf apple pay
188,rewe david hegeman duesseldorf apple pay
189,amzn mktp
190,dott scooter ride amsterdam nl apple pay
191,aldi sued duesseldorf apple pay
192,subway dusseldor dusseldorf apple pay
193,apple com bill itunes com ie apple pay
194,aral tankstelle duesseldorf apple pay
195,amazon amazon
196,bauhaus duesseldorf apple pay
197,google google one g co helppa ie
198,google cloud dublin ie
199,paypal europe s a r l et cie s c a bolt operations ou ihr ein bei bolt operations o u
200,philipp hardy ausgleich
201,amazon luxembourg uhr
202,philipp hardy ausgleich monatliche kosten
203,paypal europe s a r l et cie s c a pp pp axonic g mbh ihr ein bei axonic gmbh
204,lidl sagt danke duesseldorf apple pay
205,amazon luxembourg uhr
206,apple com bill ie apple pay
207,aldi sued duesseldorf apple pay
208,a i fitness gmbh ultr a flex eur
209,philipp hardy gehalt
210,stratode berlin debitkarten
211,stratode berlin debitkarten
212,udemy debitkarten
213,westdeutscher rundfunk koln anstalt des offentlichen rechts rundfunk beitragsnr aenderungen ganz bequem www rundfunkbeitrag
214,ag kraftfahrt versicherung h ob ph
215,landeshauptstadt duess bewparken debitkarten
216,landeshauptstadt duess bewparken debitkarten
217,klarmobil gmbh kd wir sagen danke rg nr eur
218,philipp hardy ausgleich
219,deichmann dusseldorf dusseldorf debitkarten
220,hetzner online gmbh gunzenhausen debitkarten
221,decathlon deutschland s neuss debitkarten
222,philipp alexander hardy stnr einkommenst bescheid v
223,philipp hardy ausgleich monatliche kosten
224,kirsten jäger miete christophstrasse
225,debeka versicherungen unfall haftpfl f rente
226,bundeskasse do weiden kassenzeichen druckkosten
227,deutscher bundeswehrverband e v beitrag sep
228,ottonova krankenvers ottostrase ottonova lfd beitrag
229,
230,cursor ai powered ide xxxx xxxx auslandseinsatzentgelt card debitkarte
231,anthropic xxxx xxxx auslandseinsatzentgelt card debitkarte
232,anthropic anthropic c us kurs uhr
233,cursor ai powered ide cursor com us kurs uhr
234,aldi sued duesseldorf apple pay
235,paypal europe s a r l et cie s c a mobile gmbh ihr ein bei mobile gmbh
236,autofit alican gmbh oberhausen apple pay
237,openai xxxx xxxx auslandseinsatzentgelt card debitkarte
238,sb tank duesseldorf apple pay
239,aldi sued duesseldorf apple pay
240,openai openai com us kurs uhr
241,bulle burger duesseldorf apple pay
242,sumup fortuna eck dusseldorf apple pay
243,lidl sagt danke duesseldorf apple pay
244,total service station wertheim apple pay
245,kalchreuther filiale erlangen apple pay
246,rewe martin maicher oh duesseldorf apple pay
247,sumup nedas hairstyl dusseldorf apple pay
248,mcdonalds store wertheim apple pay
249,amazon prim luxembourg uhr
250,sumup franken doner erlangen apple pay
251,land erlangen roet erlangen apple pay
252,land erlangen roet erlangen apple pay
253,sumup franken doner erlangen apple pay
254,land erlangen roet erlangen apple pay
255,siemens healthcare gmb erlangen apple pay
256,schlueters backstube g duesseldorf apple pay
257,tankautomat philipp di wertheim
258,schloss burger gmbh monheim apple pay
259,lieferando amsterdam nl apple pay
260,lime fahrten mazq frankfurt apple pay
261,rewe martin maiche duesseldorf apple pay
262,tankstelle ratio limburg apple pay
263,tankstelle ratio limburg apple pay
264,frittenwerk truck bergheim apple pay
265,paypal europe s a r l et cie s c a bolt operations ou ihr ein bei bolt operations ou
266,ubr pending uber com amsterdam nl apple pay
267,heag mobilo gmbh darmstadt apple pay
268,uber trip amsterdam nl apple pay
269,paypal europe s a r l et cie s c a pp pp stadtkas se dusseldorf ihr ein bei stad tkasse dusseldorf
270,amazon payments europe s c a amzn mktp
271,amt fuer einwohnerwese duesseldorf apple pay
272,db vertrieb gmbh berlin apple pay
273,philipp hardy ausgleich
274,aldi sued duesseldorf apple pay
275,sumup my gemuse done dusseldorf apple pay
276,decathlon deutschland neuss apple pay
277,rewe martin maicher oh duesseldorf apple pay
278,rewe duesseldorf b duesseldorf apple pay
279,losteria dusseldorf be duesseldorf apple pay
280,obi sagt danke duesseldorf apple pay
281,apple com bill cork ie apple pay
282,apple com bill itunes com ie apple pay
283,aldi sued duesseldorf apple pay
284,amzn mktp
285,apple com bill ie apple pay
286,philipp hardy ausgleich monatliche kosten
287,paypal europe s a r l et cie s c a vivenu gmbh ihr ei n bei vivenu gmbh
288,amazon payments europe s c a amzn mktp
289,a i fitness gmbh ultr a flex eur
290,bolleke duisburg debitkarten
291,stratode berlin debitkarten
292,philipp hardy gehalt
293,stratode berlin debitkarten
294,paypal europe s a r l et cie s c a boulevard royal luxembourg pp pp immobilien scout gmbh ihr ein bei immobilien scout gmbh
295,klarmobil gmbh kd wir sagen danke rg nr eur
296,philipp hardy ausgleich
297,paypal europe s a r l et cie s c a pp pp ihr ein bei
298,crf renault chateau renau debitkarten
299,paypal europe s a r l et cie s c a boulevard royal luxembourg pp pp ihr ein bei
300,hetzner online gmbh gunzenhausen debitkarten
301,aral tankstelle muelheim an d debitkarten
302,intermarche descartes debitkarten
303,kirsten jäger miete christophstrasse
304,debeka versicherungen unfall haftpfl f rente
305,debeka versicherungen auslr
306,paypal europe s a r l et cie s c a boulevard royal luxembourg pp pp ihr ein bei
307,ottonova krankenvers ottostrase ottonova lfd beitrag
308,deutscher bundeswehrverband e v beitrag aug
309,cursor ai powered ide xxxx xxxx auslandseinsatzentgelt card debitkarte
310,netto marken discount duesseldorf apple pay
311,cursor ai powered ide cursor com us kurs uhr
312,philipp hardy ausgleich
313,penny wersten duesseldorf apple pay
314,aldi sued duesseldorf apple pay
315,lieferando amsterdam nl apple pay
316,amzn mktp
317,hem tankstelle dusseldorf apple pay
318,amazon payments europe s c a amzn mktp
319,obi sagt danke duesseldorf apple pay
320,bockels beste gmbh dusseldorf apple pay
321,amazon prim luxembourg uhr
322,aldi sued duesseldorf apple pay
323,amzn mktp
324,philipp hardy ausgleich
325,bauhaus duesseldorf apple pay
326,obi sagt danke duesseldorf apple pay
327,amazon eu s a r l niederlassung deutschland amazon
328,amzn mktp
329,treatwell berlin apple pay
330,michael bruecken k oberhausen apple pay
331,mcdonalds ratingen apple pay
332,deutsche bundesbank
333,philipp hardy ausgleich
334,the burger house moliets et fr apple pay
335,sarl carene moliets et fr apple pay
336,sarl carene moliets et fr apple pay
337,lieferando amsterdam nl apple pay
338,maxicoffee gc daumesnil fr apple pay
339,readly ab stockholm se apple pay
340,paypal europe s a r l et cie s c a pp pp action s ports travel gmbh ihr ein bei action sports travel gmbh
341,philipp alexander hardy auto abo
342,philipp hardy ausgleich
343,philipp hardy ausgleich
344,the burger house moliets et fr apple pay
345,philipp hardy ausgleich
346,heinrich heine universitaet duesseldorf hardy philipp
347,sarl carene moliets et fr apple pay
348,sarl carene moliets et fr apple pay
349,moliets et fr apple pay
350,burger king abbeville fr apple pay
351,dyneff sas villegats fr apple pay
352,maxicoffee gc daumesnil fr apple pay
353,apple com bill itunes com ie apple pay
354,aldi nonancourt fr apple pay
355,apple com bill cork ie apple pay
356,onlycamp saint genis fr apple pay
357,paypal europe s a r l et cie s c a pp pp perlego ltd ihr ein bei perlego ltd
358,burger king calais fr apple pay
359,apple com bill ie apple pay
360,thalia deutschland duesseldorf apple pay
361,rewe duesseldorf f duesseldorf apple pay
362,a i fitness gmbh ultr a flex eur
363,paypal europe s a r l et cie s c a pp pp axonic g mbh ihr ein bei axonic gmbh
364,stadtsparkasse duesseld moorenstr debitkarten
365,pitchup london debitkarten
366,pitchup london debitkarten
367,stratode berlin debitkarten
368,stadtsparkasse duesseld kaisersw debitkarten
369,subway dusseldorf dusseldorf debitkarten
370,stratode berlin debitkarten
371,philipp hardy gehalt
372,hfb eco ikea duesse duesseldorf debitkarten
373,stadtsparkasse oberhausen vertragsgegenstand
374,stadtsparkasse oberhausen vertragsgegenstand
375,stw duesseldorf dusseldorf debitkarten
376,ikea deutschland gmbh a hofheim diede debitkarten
377,europcar oberhausen debitkarten
378,stadtsparkasse duesseld bilk debitkarten
379,paypal europe s a r l et cie s c a boulevard royal luxembourg pp pp immobilien scout gmbh ihr ein bei immobilien scout gmbh
380,philipp hardy ausgleich
381,gmbh berlin debitkarten
382,paypal europe s a r l et cie s c a boulevard royal luxembourg pp pp ihr ein bei
383,hfb eco ikea duesse duesseldorf debitkarten
384,deutsche bank ag neuss debitkarten
385,europcar fuerteventura debitkarten
386,klarmobil gmbh kd wir sagen danke rg nr eur
387,action sports travel gmbh
388,kirsten jäger miete christophstrasse
389,philipp hardy ausgleich
390,stadtsparkasse duesseld provinzial debitkarten
391,stadtsparkasse duesseld provinzial debitkarten
392,stadtsparkasse duesseld provinzial debitkarten
393,stadtsparkasse duesseld provinzial debitkarten
394,stadtsparkasse duesseld provinzial debitkarten
395,paypal europe s a r l et cie s c a boulevard royal luxembourg pp pp ihr ein bei
396,paypal europe s a r l et cie s c a boulevard royal luxembourg pp pp ihr ein bei
397,paypal europe s a r l et cie s c a boulevard royal luxembourg pp pp ihr ein bei
398,hetzner online gmbh gunzenhausen debitkarten
399,paypal europe s a r l et cie s c a pp pp ihr ein bei
400,booking com transport l london debitkarten
401,deutsche welthungerhilfe e v sparkasse koelnbonn spende
402,philipp hardy ausgleich monatsanteil auto steuer und versicherung und reperatur und tüv
403,paypal europe s a r l et cie s c a boulevard royal luxembourg pp pp ihr ein bei
404,philipp hardy ausgleich vergnügen und lebenserhaltung
405,ottonova krankenvers ottostrase ottonova lfd beitrag
406,debeka versicherungen unfall haftpfl f rente
407,deutscher bundeswehrverband e v beitrag jul
408,philipp hardy ausgleich
409,aldi sued duesseldorf apple pay
410,rewe david hegeman duesseldorf apple pay
411,amzn mktp
412,cursor ai powered ide xxxx xxxx auslandseinsatzentgelt card debitkarte
413,cursor ai powered ide cursor com us kurs uhr
414,aldi sued duesseldorf apple pay
415,paypal europe s a r l et cie s c a pp pp miles mo bility gmbh ihr ein bei miles mobility gmbh
416,contipark koln apple pay
417,amazon payments europe s c a amzn mktp na
418,aldi sued duesseldorf apple pay
419,subway dusseldor dusseldorf apple pay
420,apple com bill ie apple pay
421,amazon prim luxembourg uhr
422,rewe martin maicher oh duesseldorf apple pay
423,apotheke in wersten dusseldorf apple pay
424,rewe duesseldorf w duesseldorf apple pay
425,aldi sued duesseldorf apple pay
426,amazon payments europe s c a amzn mktp
427,amazon payments europe s c a amzn mktp
428,amazon payments europe s c a amzn mktp
429,paypal europe s a r l et cie s c a pp pp deutsche post ag ihr ein bei deutsche post ag
430,paypal europe s a r l et cie s c a pp pp stadtkas se dusseldorf ihr ein bei stad tkasse dusseldorf
431,feinkost kersten duisburg apple pay
432,oil oberhausen apple pay
433,philipp hardy ausgleich
434,philipp hardy ausgleich
435,uber trip amsterdam nl apple pay
436,esso station oberhause oberhausen apple pay
437,rewe duesseldorf w duesseldorf apple pay
438,ubr pending uber com amsterdam nl apple pay
439,paypal europe s a r l et cie s c a pp pp deutsche post ag ihr ein bei deutsche post ag
440,amazon eu s a r l niederlassung deutschland amazon
441,bargeldauszahlung card stadtsparkasse duessel provinzial bargeldauszahlung
442,bargeldauszahlung card stadtsparkasse duessel provinzial bargeldauszahlung
443,bargeldauszahlung card stadtsparkasse duessel provinzial bargeldauszahlung
444,bargeldauszahlung card stadtsparkasse duessel provinzial bargeldauszahlung
445,stadtkasse duesseldorf
446,readly ab stockholm se apple pay
447,shell ev charging solu berlin apple pay
448,philipp hardy ausgleich
449,geile warenautomaten g gartenkamp es apple pay
450,el matorral el matorral es apple pay
451,areas sau real gan es apple pay
452,lidl can ft antigua el antigua es apple pay
453,lidl can ft antigua el antigua es apple pay
454,fuerteventura matorral e es apple pay
455,lidl can ft antigua el antigua es apple pay
456,mercadona costa antigu pto rosario es apple pay
457,hdx montecastillo antigua es apple pay
458,apple com bill itunes com ie apple pay
459,apple com bill ie apple pay
460,lidl can ft antigua el antigua es apple pay
461,apple com bill itunes com ie apple pay
462,fuerteventura matorral e es apple pay
463,mercadona costa antigu pto rosario es apple pay
464,lidl can ft antigua el antigua es apple pay
465,apple com bill cork ie apple pay
466,autogrill deutschland cologne apple pay
467,paypal europe s a r l et cie s c a pp pp perlego ltd ihr ein bei perlego ltd
468,philipp hardy ausgleich vergnugen und lebenserhal tung
469,paypal europe s a r l et cie s c a pp pp axonic g mbh ihr ein bei axonic gmbh
470,cursor ai powered ide xxxx xxxx auslandseinsatzentgelt card debitkarte
471,a i fitness gmbh ultr a flex eur
472,cursor ai powered ide cursor com us kurs uhr
473,stadtsparkasse duesseld moorenstr debitkarten
474,stratode berlin debitkarten
475,philipp hardy gehalt
476,immobilien scout gmb ihre kundennr rg eur
477,philipp hardy ausgleich
478,stratode berlin debitkarten
479,philipp hardy
480,paypal europe s a r l et cie s c a boulevard royal luxembourg pp pp immobilien scout gmbh ihr ein bei immobilien scout gmbh
481,paypal europe s a r l et cie s c a boulevard royal luxembourg pp pp n factory ihr ein bei n factory
482,zweckverband kd oberland code
483,klarmobil gmbh kd wir sagen danke rg nr eur
484,hetzner online gmbh gunzenhausen debitkarten
485,bundeskasse do trier kfz steuer fuer ob ph fuer die zeit vom bis zum kassenzeichen
486,avia tankstelle denkendorf debitkarten
487,sparkasse witten crengeld debitkarten
488,ottonova krankenvers ottostrase ottonova einlosebeitrag
489,ottonova krankenvers ottostrase ottonova lfd beitrag
490,debeka versicherungen unfall haftpfl f rente
491,deutscher bundeswehrverband e v beitrag jun
492,philipp hardy ausgleich monatsanteil auto steuer und versicherung und reperatur und tüv
493,philipp hardy ausgleich vergnügen und lebenserhaltung
494,deutsche welthungerhilfe e v sparkasse koelnbonn spende
495,philipp hardy ausgleich
496,airbnb apple pay
497,burger king sot henstedt ul apple pay
498,amazon prim luxembourg uhr
499,mcdrodekro xxxx xxxx auslandseinsatzentgelt card debitkarte apple pay
500,grundbergsee sued rast sottrum apple pay
501,bk sot sottrum apple pay
502,mcdrodekro rodekro dk kurs apple pay
503,amazon payments europe s c a amzn mktp
504,dhl bonn apple pay
505,readly ab stockholm se apple pay
506,salon dreyer oberhausen apple pay
507,amazon payments europe s c a amzn mktp
508,amazon payments europe s c a amzn mktp
509,total service station idstein apple pay
510,edeka odenbach weyarn apple pay
511,mcdonalds idstein apple pay
512,substack mitglieder hamburg
513,beim huber in linden valley apple pay
514,rewe neubiberg am neubiberg apple pay
515,rewe neubiberg am neubiberg apple pay
516,amazon payments europe s c a amzn mktp
517,apple com bill itunes com ie apple pay
518,penny obermeideric duisburg apple pay
519,apple com bill itunes com ie apple pay
520,apple com bill ie apple pay
521,philipp hardy ausgleich vergnugen und lebenserhal tung
522,paypal europe s a r l et cie s c a pp pp n factor y ihr ein bei n factory
523,paypal europe s a r l et cie s c a pp pp aliexpre ss ihr ein bei aliexpress
524,paypal europe s a r l et cie s c a pp pp perlego ltd ihr ein bei perlego ltd
525,paypal europe s a r l et cie s c a pp pp funduino gmbh ihr ein bei funduino gmb h
526,paypal europe s a r l et cie s c a pp pp bat cave games limited ihr ein bei bat cave games limited
527,uzr maivent gmbh co oberhausen apple pay
528,a i fitness gmbh ultr a flex eur
529,tui com flug bremen gutschriftsbeleg
530,cursor ai powered ide xxxx xxxx auslandseinsatzentgelt card debitkarte
531,cursor ai powered ide cursor com us kurs uhr
532,ryanair hahn
533,disney plus hoofddorp nl
534,tui com flug bremen
535,shell rodgau apple pay
536,calpam kleinostheim kleinosthei apple pay
537,raststaette weiskirche rodgau apple pay
538,rewe neubiberg am neubiberg apple pay
539,rewe neubiberg am neubiberg apple pay
540,avia tankstelle seligenstad apple pay
541,cafe muenchner freihei muenchen apple pay
542,netto marken discount neubiberg apple pay
543,amznprime amzn inf
544,michael bruecken k oberhausen apple pay
545,yorma s muenchen conta muenchen apple pay
546,philipp hardy ausgleich
547,paypal europe s a r l et cie s c a pp pp ryanair limited ihr ein bei ryanair li mited
548,paypal europe s a r l et cie s c a pp pp ihr ei n bei
549,paypal europe s a r l et cie s c a pp pp ihr ei n bei
550,substack mitglieder hamburg
551,aral station duisburg apple pay
552,lieferando amsterdam nl apple pay
553,apple com bill itunes com ie apple pay
554,apple com bill cork ie apple pay
555,philipp hardy ausgleich vergnugen und lebenserhal tung
556,paypal europe s a r l et cie s c a pp pp perlego ltd ihr ein bei perlego ltd
557,paypal europe s a r l et cie s c a pp pp axonic i nformationssysteme gmbh ihr einkau f bei axonic informationssysteme gm bh
558,friseur scharfenkamp oberhausen apple pay
559,a i fitness gmbh ultr a flex eur
560,stratode berlin debitkarten
561,hardy philipp zahltag besoldung
562,stratode berlin debitkarten
563,klarmobil gmbh kd wir sagen danke rg nr eur
564,action sports travel gmbh
565,keep me flying gmbh lxoqr
566,keep me flying gmbh lxoqr
567,hetzner online gmbh gunzenhausen debitkarten
568,debeka versicherungen unfall haftpfl f rente
569,deutscher bundeswehrverband e v beitrag mai
570,philipp hardy ausgleich monatsanteil auto steuer und versicherung und reperatur und tüv
571,philipp hardy ausgleich vergnügen und lebenserhaltung
572,deutsche welthungerhilfe e v sparkasse koelnbonn spende
573,bargeldauszahlung card stadtsparkasse oberhau ghh bargeldauszahlung
574,eiscafe promenade gmbh oberhausen apple pay
575,media markt oberhausen oberhausen apple pay
576,dm drogerie markt oberhausen apple pay
577,cursor ai powered ide xxxx xxxx auslandseinsatzentgelt card debitkarte
578,cursor ai powered ide cursor com us kurs uhr
579,paypal europe s a r l et cie s c a pp pp mission erde e v ihr ein bei mission erde e v
580,apple com bill itunes com ie apple pay
581,amazon payments europe s c a amzn mktp
582,amznprime amzn inf
583,shell limburg apple pay
584,burger king s ilsfeld apple pay
585,wunnenstein ost rastst ilsfeld apple pay
586,shell bad camberg apple pay
587,amazon payments europe s c a amzn mktp
588,apple com bill itunes com ie apple pay
589,paypal europe s a r l et cie s c a pp pp ihr ei n bei
590,paypal europe s a r l et cie s c a pp pp perlego ltd ihr ein bei perlego ltd
591,dustin sachse rechnung getgem
592,paypal europe s a r l et cie s c a pp pp fashion retail sa ihr ein bei fashion retail sa
593,philipp hardy ausgleich vergnugen und lebenserhal tung
594,avia tankstelle seligenstad apple pay
595,friseur scharfenkamp oberhausen apple pay
596,avia tankstelle seligenstad apple pay
597,apple com bill ie apple pay
598,paypal europe s a r l et cie s c a pp pp axonic i nformationssysteme gmbh ihr einkau f bei axonic informationssysteme gm bh
599,a i fitness gmbh ultr a flex eur
600,stratode berlin debitkarten
601,hardy philipp zahltag besoldung
602,stratode berlin debitkarten
603,udemy debitkarten
604,keep me flying gmbh lxoqr
605,heinrich heine universität
606,klarmobil gmbh kd wir sagen danke rg nr eur
607,hetzner online gmbh gunzenhausen debitkarten
608,philipp alexander hardy stnr einkommenst
609,philipp hardy ausgleich monatsanteil auto steuer und versicherung und reperatur und tüv
610,deutsche welthungerhilfe e v sparkasse koelnbonn spende
611,philipp hardy ausgleich vergnügen und lebenserhaltung
612,debeka versicherungen unfall haftpfl f rente
613,deutscher bundeswehrverband e v beitrag apr
